Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe
2018-09-03 00:00:00,2019-09-03 00:00:00,2018-09-05 00:00:00,2019-08-30 00:00:00,-11.18,3.18,-14.36,-0.997055,0.273962
2002-11-22 00:00:00,2003-11-22 00:00:00,2002-11-25 00:00:00,2003-11-21 00:00:00,1.29,13.32,-12.03,0.200176,0.801539
2017-02-08 00:00:00,2018-02-08 00:00:00,2017-02-09 00:00:00,2018-02-07 00:00:00,8.63,18.33,-9.7,1.310497,1.99216
2015-11-15 00:00:00,2016-11-14 00:00:00,2015-11-17 00:00:00,2016-11-11 00:00:00,14.89,7.6,7.29,1.82553,0.598514
2003-06-15 00:00:00,2004-06-14 00:00:00,2003-06-17 00:00:00,2004-06-10 00:00:00,-5.86,14.26,-20.12,-1.130604,1.169182
2008-07-16 00:00:00,2009-07-16 00:00:00,2008-07-17 00:00:00,2009-07-15 00:00:00,-50.64,-23.5,-27.14,-2.248516,-0.361188
2019-10-02 00:00:00,2020-10-01 00:00:00,2019-10-03 00:00:00,2020-09-30 00:00:00,-14.42,17.54,-31.96,-0.588526,0.661405
2023-12-15 00:00:00,2024-12-14 00:00:00,2023-12-18 00:00:00,2024-12-13 00:00:00,15.23,29.23,-14.0,2.011416,2.196659
2008-10-18 00:00:00,2009-10-18 00:00:00,2008-10-21 00:00:00,2009-10-16 00:00:00,-31.43,16.54,-47.97,-1.458059,0.597346
2012-11-09 00:00:00,2013-11-09 00:00:00,2012-11-12 00:00:00,2013-11-08 00:00:00,12.76,31.03,-18.27,2.683748,2.418441
2011-07-20 00:00:00,2012-07-19 00:00:00,2011-07-21 00:00:00,2012-07-18 00:00:00,1.31,4.31,-3.0,0.163097,0.299496
2000-11-10 00:00:00,2001-11-10 00:00:00,2000-11-13 00:00:00,2001-11-09 00:00:00,-5.77,-15.82,10.05,-0.418478,-0.636761
2023-09-01 00:00:00,2024-08-31 00:00:00,2023-09-05 00:00:00,2024-08-30 00:00:00,12.12,27.23,-15.11,1.605991,2.030937
2017-07-02 00:00:00,2018-07-02 00:00:00,2017-07-05 00:00:00,2018-06-29 00:00:00,4.77,13.83,-9.06,0.589497,1.111309
2017-06-04 00:00:00,2018-06-04 00:00:00,2017-06-06 00:00:00,2018-06-01 00:00:00,8.44,14.64,-6.2,1.003299,1.172215
2015-05-10 00:00:00,2016-05-09 00:00:00,2015-05-12 00:00:00,2016-05-06 00:00:00,11.76,0.06,11.7,1.150677,0.086676
2007-08-27 00:00:00,2008-08-26 00:00:00,2007-08-28 00:00:00,2008-08-25 00:00:00,-3.53,-9.84,6.31,-0.269212,-0.427328
2013-05-06 00:00:00,2014-05-06 00:00:00,2013-05-07 00:00:00,2014-05-05 00:00:00,8.95,18.22,-9.27,2.435136,1.561097
2012-05-05 00:00:00,2013-05-05 00:00:00,2012-05-08 00:00:00,2013-05-03 00:00:00,6.4,20.8,-14.4,1.267093,1.559214
2007-02-17 00:00:00,2008-02-17 00:00:00,2007-02-21 00:00:00,2008-02-15 00:00:00,0.61,-5.72,6.33,0.111892,-0.252839
2019-03-23 00:00:00,2020-03-22 00:00:00,2019-03-26 00:00:00,2020-03-20 00:00:00,-13.48,-16.95,3.47,-0.693433,-0.568305
2011-10-03 00:00:00,2012-10-02 00:00:00,2011-10-04 00:00:00,2012-10-01 00:00:00,11.36,31.25,-19.89,1.277466,1.707371
2020-04-25 00:00:00,2021-04-25 00:00:00,2020-04-28 00:00:00,2021-04-23 00:00:00,6.24,48.19,-41.95,0.539175,2.313651
2011-01-09 00:00:00,2012-01-09 00:00:00,2011-01-11 00:00:00,2012-01-06 00:00:00,7.71,2.32,5.39,0.596791,0.216196
2014-04-29 00:00:00,2015-04-29 00:00:00,2014-04-30 00:00:00,2015-04-28 00:00:00,3.47,14.48,-11.01,0.430315,1.245731
2020-08-15 00:00:00,2021-08-15 00:00:00,2020-08-18 00:00:00,2021-08-13 00:00:00,9.29,33.64,-24.35,0.871615,2.050584
2020-01-30 00:00:00,2021-01-29 00:00:00,2020-01-31 00:00:00,2021-01-28 00:00:00,-17.27,19.57,-36.84,-0.721574,0.704632
2022-01-20 00:00:00,2023-01-20 00:00:00,2022-01-21 00:00:00,2023-01-19 00:00:00,11.29,-9.83,21.12,0.671287,-0.309889
2005-06-17 00:00:00,2006-06-17 00:00:00,2005-06-20 00:00:00,2006-06-16 00:00:00,3.09,4.53,-1.44,0.836504,0.475605
2006-08-07 00:00:00,2007-08-07 00:00:00,2006-08-08 00:00:00,2007-08-06 00:00:00,2.4,16.86,-14.46,0.525954,1.468595
2014-12-31 00:00:00,2015-12-31 00:00:00,2015-01-02 00:00:00,2015-12-30 00:00:00,6.24,2.31,3.93,0.638423,0.226147
2010-10-07 00:00:00,2011-10-07 00:00:00,2010-10-08 00:00:00,2011-10-06 00:00:00,-0.75,1.94,-2.69,-0.000479,0.197027
2010-11-11 00:00:00,2011-11-11 00:00:00,2010-11-12 00:00:00,2011-11-10 00:00:00,3.43,5.48,-2.05,0.321945,0.354746
2023-04-23 00:00:00,2024-04-22 00:00:00,2023-04-25 00:00:00,2024-04-19 00:00:00,13.55,23.7,-10.15,1.613674,1.911485
2020-10-28 00:00:00,2021-10-28 00:00:00,2020-10-29 00:00:00,2021-10-27 00:00:00,15.18,39.5,-24.32,1.591145,2.698404
2018-01-28 00:00:00,2019-01-28 00:00:00,2018-01-30 00:00:00,2019-01-25 00:00:00,-15.71,-3.88,-11.83,-1.470737,-0.139316
2016-08-09 00:00:00,2017-08-09 00:00:00,2016-08-10 00:00:00,2017-08-08 00:00:00,8.23,15.92,-7.69,1.446322,1.900455
2005-05-26 00:00:00,2006-05-26 00:00:00,2005-05-27 00:00:00,2006-05-25 00:00:00,-0.02,8.1,-8.12,0.004764,0.846936
2023-04-27 00:00:00,2024-04-26 00:00:00,2023-04-28 00:00:00,2024-04-25 00:00:00,13.08,22.8,-9.72,1.561671,1.859616
2004-12-25 00:00:00,2005-12-25 00:00:00,2004-12-28 00:00:00,2005-12-23 00:00:00,0.33,6.45,-6.12,0.108936,0.662507
2004-04-21 00:00:00,2005-04-21 00:00:00,2004-04-22 00:00:00,2005-04-20 00:00:00,4.22,1.56,2.66,1.160735,0.197657
2023-11-17 00:00:00,2024-11-16 00:00:00,2023-11-20 00:00:00,2024-11-15 00:00:00,17.54,30.69,-13.15,2.056369,2.281935
2011-09-05 00:00:00,2012-09-04 00:00:00,2011-09-07 00:00:00,2012-08-31 00:00:00,8.05,19.84,-11.79,0.838432,1.079384
2024-01-31 00:00:00,2025-01-30 00:00:00,2024-02-01 00:00:00,2025-01-29 00:00:00,17.25,24.6,-7.35,2.05264,1.813137
2023-07-08 00:00:00,2024-07-07 00:00:00,2023-07-11 00:00:00,2024-07-05 00:00:00,17.31,27.11,-9.8,2.154581,2.243836
2015-04-21 00:00:00,2016-04-20 00:00:00,2015-04-22 00:00:00,2016-04-19 00:00:00,12.34,1.78,10.56,1.201814,0.189819
2008-03-27 00:00:00,2009-03-27 00:00:00,2008-03-28 00:00:00,2009-03-26 00:00:00,-51.78,-35.14,-16.64,-2.429985,-0.755054
2023-04-24 00:00:00,2024-04-23 00:00:00,2023-04-25 00:00:00,2024-04-22 00:00:00,12.56,24.84,-12.28,1.493058,1.982587
2012-07-07 00:00:00,2013-07-07 00:00:00,2012-07-10 00:00:00,2013-07-05 00:00:00,9.77,24.25,-14.48,2.197186,1.883146
2016-11-21 00:00:00,2017-11-21 00:00:00,2016-11-22 00:00:00,2017-11-20 00:00:00,8.25,19.47,-11.22,1.643956,2.649585
2001-12-28 00:00:00,2002-12-28 00:00:00,2001-12-31 00:00:00,2002-12-27 00:00:00,-6.56,-22.34,15.78,-0.45835,-0.828252
2022-03-07 00:00:00,2023-03-07 00:00:00,2022-03-08 00:00:00,2023-03-06 00:00:00,12.39,-1.25,13.64,0.74166,0.063463
2002-10-05 00:00:00,2003-10-05 00:00:00,2002-10-08 00:00:00,2003-10-03 00:00:00,1.77,30.76,-28.99,0.235933,1.429053
2024-04-23 00:00:00,2025-04-23 00:00:00,2024-04-24 00:00:00,2025-04-22 00:00:00,4.34,5.65,-1.31,0.365859,0.377625
2016-12-03 00:00:00,2017-12-03 00:00:00,2016-12-06 00:00:00,2017-12-01 00:00:00,8.39,21.7,-13.31,1.67422,2.897585
2011-04-02 00:00:00,2012-04-01 00:00:00,2011-04-05 00:00:00,2012-03-30 00:00:00,1.34,7.9,-6.56,0.166437,0.452149
2011-07-24 00:00:00,2012-07-23 00:00:00,2011-07-26 00:00:00,2012-07-20 00:00:00,1.31,4.53,-3.22,0.163423,0.309168
2014-12-25 00:00:00,2015-12-25 00:00:00,2014-12-29 00:00:00,2015-12-24 00:00:00,6.98,0.58,6.4,0.677523,0.114594
2019-04-08 00:00:00,2020-04-07 00:00:00,2019-04-09 00:00:00,2020-04-06 00:00:00,-13.5,-5.93,-7.57,-0.627938,-0.048847
2011-05-23 00:00:00,2012-05-22 00:00:00,2011-05-24 00:00:00,2012-05-21 00:00:00,5.77,2.12,3.65,0.472956,0.206883
2000-06-17 00:00:00,2001-06-17 00:00:00,2000-06-20 00:00:00,2001-06-15 00:00:00,-0.51,-16.71,16.2,0.008106,-0.717118
2021-05-19 00:00:00,2022-05-19 00:00:00,2021-05-20 00:00:00,2022-05-18 00:00:00,8.78,-4.4,13.18,0.699228,-0.165417
2002-10-07 00:00:00,2003-10-07 00:00:00,2002-10-08 00:00:00,2003-10-06 00:00:00,0.53,31.36,-30.83,0.103808,1.448444
2017-06-01 00:00:00,2018-06-01 00:00:00,2017-06-02 00:00:00,2018-05-31 00:00:00,9.11,13.08,-3.97,1.076919,1.06089
2001-05-16 00:00:00,2002-05-16 00:00:00,2001-05-17 00:00:00,2002-05-15 00:00:00,23.44,-13.89,37.33,1.802304,-0.68894
2021-07-17 00:00:00,2022-07-17 00:00:00,2021-07-20 00:00:00,2022-07-15 00:00:00,3.2,-9.38,12.58,0.277657,-0.39724
2009-12-10 00:00:00,2010-12-10 00:00:00,2009-12-11 00:00:00,2010-12-09 00:00:00,-1.55,13.59,-15.14,-0.09392,0.799844
2009-01-28 00:00:00,2010-01-28 00:00:00,2009-01-29 00:00:00,2010-01-27 00:00:00,-3.47,32.91,-36.38,-0.156187,1.277043
2000-08-08 00:00:00,2001-08-08 00:00:00,2000-08-09 00:00:00,2001-08-07 00:00:00,-15.5,-17.17,1.67,-1.275903,-0.738879
2014-04-03 00:00:00,2015-04-03 00:00:00,2014-04-04 00:00:00,2015-04-02 00:00:00,4.76,12.92,-8.16,0.566468,1.098006
