Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe,SPY Buy/Hold Result,SPY Sharpe,SPY Delta
2022-08-22 00:00:00,2023-08-22 00:00:00,2022-08-23 00:00:00,2023-08-21 00:00:00,1.46,173.59,-172.13,0.178014,2.0495,8.29,0.527147,-6.83
2005-02-05 00:00:00,2006-02-05 00:00:00,2005-02-08 00:00:00,2006-02-03 00:00:00,-13.64,71.08,-84.72,-1.216589,1.686286,6.89,0.694951,-20.53
2018-08-31 00:00:00,2019-08-31 00:00:00,2018-09-04 00:00:00,2019-08-30 00:00:00,25.15,-40.71,65.86,1.144233,-0.716045,2.91,0.25704,22.24
2017-10-03 00:00:00,2018-10-03 00:00:00,2017-10-04 00:00:00,2018-10-02 00:00:00,11.46,58.78,-47.32,0.981642,1.519463,17.27,1.348701,-5.81
2021-02-12 00:00:00,2022-02-12 00:00:00,2021-02-16 00:00:00,2022-02-11 00:00:00,-2.78,56.36,-59.14,-0.132444,1.185619,13.77,1.010268,-16.55
2022-03-24 00:00:00,2023-03-24 00:00:00,2022-03-25 00:00:00,2023-03-23 00:00:00,50.11,-1.72,51.83,1.9337,0.276732,-11.68,-0.418958,61.79
2020-03-15 00:00:00,2021-03-15 00:00:00,2020-03-17 00:00:00,2021-03-12 00:00:00,-33.8,137.01,-170.81,-1.849917,1.982396,58.79,1.995305,-92.59
2022-06-02 00:00:00,2023-06-02 00:00:00,2022-06-03 00:00:00,2023-06-01 00:00:00,12.01,112.65,-100.64,0.883492,1.56099,4.49,0.316448,7.52
2021-01-13 00:00:00,2022-01-13 00:00:00,2021-01-14 00:00:00,2022-01-12 00:00:00,9.09,112.29,-103.2,0.705023,1.908608,26.12,1.857517,-17.03
2010-06-07 00:00:00,2011-06-07 00:00:00,2010-06-08 00:00:00,2011-06-06 00:00:00,7.16,61.63,-54.47,0.761563,1.198702,23.43,1.523085,-16.27
